Reference, Value, Footprint, Datasheet
U3,ESP-13-WROOM-02,library:ESP-13-WROOM-02,
Y1,12MHz,Crystals:HC-49V,
C3,10u,Capacitors_SMD:C_0805,
C1,22,Capacitors_SMD:C_0603,
C2,22,Capacitors_SMD:C_0603,
R3,10K,Resistors_SMD:R_0603,
R4,10K,Resistors_SMD:R_0603,
R9,10K,Resistors_SMD:R_0603,
R7,10K,Resistors_SMD:R_0603,
R6,10K,Resistors_SMD:R_0603,
R5,10K,Resistors_SMD:R_0603,
C8,100u,Capacitors_Tantalum_SMD:TantalC_SizeS_EIA-3216,
C6,10u,Capacitors_SMD:C_0805,
C4,100u,Capacitors_Tantalum_SMD:TantalC_SizeS_EIA-3216,
U1,CH340G,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
SW1,Flash,Buttons_Switches_SMD:SW_SPST_REED_CT05-XXXX-G1,
SW2,Reset,Buttons_Switches_SMD:SW_SPST_REED_CT05-XXXX-G1,
P1,THT_Male_P_1x15,Pin_Headers:Pin_Header_Straight_1x15,
P3,THT_Male_P_1x15,Pin_Headers:Pin_Header_Straight_1x15,
R1,220K(1%),Resistors_SMD:R_0603,
R2,100K(1%),Resistors_SMD:R_0603,
U2,LM3940IMP-3.3,TO_SOT_Packages_SMD:SOT-223,
C7,47u,Capacitors_Tantalum_SMD:TantalC_SizeS_EIA-3216,
C5,0.47u,Capacitors_SMD:C_0805,
P4,POWER_5V,Connectors_JST:JST_PH_B2B-PH-K_02x2.00mm_Straight,
D1,IN4007/M7(DO-214AC),Diodes_SMD:DO-214BA,
CON1,Micro_SD_Card,library:MICROSD,
D3,IN4007/M7(DO-214AC),Diodes_SMD:DO-214BA,
D2,IN4007/M7(DO-214AC),Diodes_SMD:DO-214BA,
P2,USB_A,library:uUSB_B_Receptacle,
